status,key,kb_url,kb_title,downloaded_html_path,local_doc_path
pending,cascade-administration/installation-and-upgrades/system-configuration/email-proxy-support,https://www.hannonhill.com/cascadecms/latest/cascade-administration/installation-and-upgrades/system-configuration/email-proxy-support.html,Configuring outbound proxy support for system-generated emails - Cascade CMS Knowledge Base,pages/www.hannonhill.com/cascadecms/latest/cascade-administration/installation-and-upgrades/system-configuration/email-proxy-support.html,docs/cascade-administration/installation-and-upgrades/system-configuration/email-proxy-support/index.html
pending,cascade-administration/installation-and-upgrades/system-configuration/enabling-http-strict-transport-security-hsts,https://www.hannonhill.com/cascadecms/latest/cascade-administration/installation-and-upgrades/system-configuration/enabling-http-strict-transport-security-hsts.html,Enabling HTTP Strict Transport Security (HSTS) - Cascade CMS Knowledge Base,pages/www.hannonhill.com/cascadecms/latest/cascade-administration/installation-and-upgrades/system-configuration/enabling-http-strict-transport-security-hsts.html,docs/cascade-administration/installation-and-upgrades/system-configuration/enabling-http-strict-transport-security-hsts/index.html
pending,cascade-administration/installation-and-upgrades/system-configuration/enabling-or-disabling-tls-versions,https://www.hannonhill.com/cascadecms/latest/cascade-administration/installation-and-upgrades/system-configuration/enabling-or-disabling-tls-versions.html,Enabling or Disabling TLS Versions - Cascade CMS Knowledge Base,pages/www.hannonhill.com/cascadecms/latest/cascade-administration/installation-and-upgrades/system-configuration/enabling-or-disabling-tls-versions.html,docs/cascade-administration/installation-and-upgrades/system-configuration/enabling-or-disabling-tls-versions/index.html
pending,cascade-administration/installation-and-upgrades/system-configuration/firewall,https://www.hannonhill.com/cascadecms/latest/cascade-administration/installation-and-upgrades/system-configuration/firewall.html,Firewall Considerations - Cascade CMS Knowledge Base,pages/www.hannonhill.com/cascadecms/latest/cascade-administration/installation-and-upgrades/system-configuration/firewall.html,docs/cascade-administration/installation-and-upgrades/system-configuration/firewall/index.html
pending,cascade-administration/installation-and-upgrades/system-configuration/force-ssl-tls,https://www.hannonhill.com/cascadecms/latest/cascade-administration/installation-and-upgrades/system-configuration/force-ssl-tls.html,Forcing connections to use SSL/TLS - Cascade CMS Knowledge Base,pages/www.hannonhill.com/cascadecms/latest/cascade-administration/installation-and-upgrades/system-configuration/force-ssl-tls.html,docs/cascade-administration/installation-and-upgrades/system-configuration/force-ssl-tls/index.html
pending,cascade-administration/installation-and-upgrades/system-configuration/heap-dump-oom,https://www.hannonhill.com/cascadecms/latest/cascade-administration/installation-and-upgrades/system-configuration/heap-dump-oom.html,Configuring the Heap Dump on Out of Memory option - Cascade CMS Knowledge Base,pages/www.hannonhill.com/cascadecms/latest/cascade-administration/installation-and-upgrades/system-configuration/heap-dump-oom.html,docs/cascade-administration/installation-and-upgrades/system-configuration/heap-dump-oom/index.html
pending,cascade-administration/installation-and-upgrades/system-configuration/java-configuration,https://www.hannonhill.com/cascadecms/latest/cascade-administration/installation-and-upgrades/system-configuration/java-configuration.html,Configuring Cascade CMS to point to a Java installation - Cascade CMS Knowledge Base,pages/www.hannonhill.com/cascadecms/latest/cascade-administration/installation-and-upgrades/system-configuration/java-configuration.html,docs/cascade-administration/installation-and-upgrades/system-configuration/java-configuration/index.html
pending,cascade-administration/installation-and-upgrades/system-configuration/load-balancing,https://www.hannonhill.com/cascadecms/latest/cascade-administration/installation-and-upgrades/system-configuration/load-balancing.html,Load Balancing - Cascade CMS Knowledge Base,pages/www.hannonhill.com/cascadecms/latest/cascade-administration/installation-and-upgrades/system-configuration/load-balancing.html,docs/cascade-administration/installation-and-upgrades/system-configuration/load-balancing/index.html
pending,cascade-administration/installation-and-upgrades/system-configuration/logging-rotation-compression,https://www.hannonhill.com/cascadecms/latest/cascade-administration/installation-and-upgrades/system-configuration/logging-rotation-compression.html,Configuring Cascade CMS Log Rotation and Compression - Cascade CMS Knowledge Base,pages/www.hannonhill.com/cascadecms/latest/cascade-administration/installation-and-upgrades/system-configuration/logging-rotation-compression.html,docs/cascade-administration/installation-and-upgrades/system-configuration/logging-rotation-compression/index.html
pending,cascade-administration/installation-and-upgrades/system-configuration/modify-db,https://www.hannonhill.com/cascadecms/latest/cascade-administration/installation-and-upgrades/system-configuration/modify-db.html,Modifying the Database Configuration - Cascade CMS Knowledge Base,pages/www.hannonhill.com/cascadecms/latest/cascade-administration/installation-and-upgrades/system-configuration/modify-db.html,docs/cascade-administration/installation-and-upgrades/system-configuration/modify-db/index.html
